UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,KFI ratio title,Value (Ratio)
10007856,Aberystwyth University,Wales,Wales,2015/16,Net liquidity days,132.0
10007856,Aberystwyth University,Wales,Wales,2015/16,General funds as a % of total income,0.0
10000291,Anglia Ruskin University,England,East of England,2015/16,Surplus/(deficit) as a % of total income,0.026000000000000002
10000291,Anglia Ruskin University,England,East of England,2015/16,Staff costs as a % of total income,0.491
10000291,Anglia Ruskin University,England,East of England,2015/16,Premises costs as a % of total costs,0.049
10000291,Anglia Ruskin University,England,East of England,2015/16,Unrestricted reserves as a % of total income,0.124
10000291,Anglia Ruskin University,England,East of England,2015/16,External borrowing as a % of total income,0.447
10000291,Anglia Ruskin University,England,East of England,2015/16,Days ratio of total net assets to total expenditure,47.0
10000291,Anglia Ruskin University,England,East of England,2015/16,Ratio of current assets to current liabilities,1.3
10000291,Anglia Ruskin University,England,East of England,2015/16,Net cash inflow from operating activities as a % of total income,0.138
10000291,Anglia Ruskin University,England,East of England,2015/16,Net liquidity days,116.0
10000291,Anglia Ruskin University,England,East of England,2015/16,General funds as a % of total income,0.0
10007759,Aston University,England,West Midlands,2015/16,Surplus/(deficit) as a % of total income,0.033
10007759,Aston University,England,West Midlands,2015/16,Staff costs as a % of total income,0.508
10007759,Aston University,England,West Midlands,2015/16,Premises costs as a % of total costs,0.046
10007759,Aston University,England,West Midlands,2015/16,Unrestricted reserves as a % of total income,0.691
10007759,Aston University,England,West Midlands,2015/16,External borrowing as a % of total income,0.361
10007759,Aston University,England,West Midlands,2015/16,Days ratio of total net assets to total expenditure,270.0
10007759,Aston University,England,West Midlands,2015/16,Ratio of current assets to current liabilities,1.4
10007759,Aston University,England,West Midlands,2015/16,Net cash inflow from operating activities as a % of total income,0.145
10007759,Aston University,England,West Midlands,2015/16,Net liquidity days,108.0
10007759,Aston University,England,West Midlands,2015/16,General funds as a % of total income,0.0
10007857,Bangor University,Wales,Wales,2015/16,Surplus/(deficit) as a % of total income,-0.073
10007857,Bangor University,Wales,Wales,2015/16,Staff costs as a % of total income,0.585
10007857,Bangor University,Wales,Wales,2015/16,Premises costs as a % of total costs,0.045
10007857,Bangor University,Wales,Wales,2015/16,Unrestricted reserves as a % of total income,1.442
10007857,Bangor University,Wales,Wales,2015/16,External borrowing as a % of total income,0.6940000000000001
10007857,Bangor University,Wales,Wales,2015/16,Days ratio of total net assets to total expenditure,507.0
10007857,Bangor University,Wales,Wales,2015/16,Ratio of current assets to current liabilities,1.1
10007857,Bangor University,Wales,Wales,2015/16,Net cash inflow from operating activities as a % of total income,0.07200000000000001
10007857,Bangor University,Wales,Wales,2015/16,Net liquidity days,59.0
10007857,Bangor University,Wales,Wales,2015/16,General funds as a % of total income,0.0
10000571,Bath Spa University,England,South West,2015/16,Surplus/(deficit) as a % of total income,0.12
10000571,Bath Spa University,England,South West,2015/16,Staff costs as a % of total income,0.467
10000571,Bath Spa University,England,South West,2015/16,Premises costs as a % of total costs,0.064
10000571,Bath Spa University,England,South West,2015/16,Unrestricted reserves as a % of total income,0.986
10000571,Bath Spa University,England,South West,2015/16,External borrowing as a % of total income,0.831
10000571,Bath Spa University,England,South West,2015/16,Days ratio of total net assets to total expenditure,412.0
10000571,Bath Spa University,England,South West,2015/16,Ratio of current assets to current liabilities,3.1
10000571,Bath Spa University,England,South West,2015/16,Net cash inflow from operating activities as a % of total income,0.35100000000000003
10000571,Bath Spa University,England,South West,2015/16,Net liquidity days,233.0
10000571,Bath Spa University,England,South West,2015/16,General funds as a % of total income,0.0
10007850,The University of Bath,England,South West,2015/16,Surplus/(deficit) as a % of total income,0.054000000000000006
10007850,The University of Bath,England,South West,2015/16,Staff costs as a % of total income,0.498
10007850,The University of Bath,England,South West,2015/16,Premises costs as a % of total costs,0.055999999999999994
10007850,The University of Bath,England,South West,2015/16,Unrestricted reserves as a % of total income,1.67
10007850,The University of Bath,England,South West,2015/16,External borrowing as a % of total income,0.606
10007850,The University of Bath,England,South West,2015/16,Days ratio of total net assets to total expenditure,655.0
10007850,The University of Bath,England,South West,2015/16,Ratio of current assets to current liabilities,2.5
10007850,The University of Bath,England,South West,2015/16,Net cash inflow from operating activities as a % of total income,0.146
10007850,The University of Bath,England,South West,2015/16,Net liquidity days,195.0
10007850,The University of Bath,England,South West,2015/16,General funds as a % of total income,0.0
10007152,University of Bedfordshire,England,East of England,2015/16,Surplus/(deficit) as a % of total income,0.006
10007152,University of Bedfordshire,England,East of England,2015/16,Staff costs as a % of total income,0.5579999999999999
10007152,University of Bedfordshire,England,East of England,2015/16,Premises costs as a % of total costs,0.057
10007152,University of Bedfordshire,England,East of England,2015/16,Unrestricted reserves as a % of total income,0.6990000000000001
10007152,University of Bedfordshire,England,East of England,2015/16,External borrowing as a % of total income,0.33
10007152,University of Bedfordshire,England,East of England,2015/16,Days ratio of total net assets to total expenditure,258.0
10007152,University of Bedfordshire,England,East of England,2015/16,Ratio of current assets to current liabilities,1.8
10007152,University of Bedfordshire,England,East of England,2015/16,Net cash inflow from operating activities as a % of total income,0.094
10007152,University of Bedfordshire,England,East of England,2015/16,Net liquidity days,127.0
10007152,University of Bedfordshire,England,East of England,2015/16,General funds as a % of total income,0.0
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Surplus/(deficit) as a % of total income,0.002
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Staff costs as a % of total income,0.57
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Premises costs as a % of total costs,0.048
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Unrestricted reserves as a % of total income,1.129
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,External borrowing as a % of total income,0.136
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Days ratio of total net assets to total expenditure,480.0
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Ratio of current assets to current liabilities,2.8
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Net cash inflow from operating activities as a % of total income,0.079
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,Net liquidity days,308.0
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland,2015/16,General funds as a % of total income,0.0
10007760,Birkbeck College,England,London,2015/16,Surplus/(deficit) as a % of total income,0.08900000000000001
10007760,Birkbeck College,England,London,2015/16,Staff costs as a % of total income,0.5920000000000001
10007760,Birkbeck College,England,London,2015/16,Premises costs as a % of total costs,0.07200000000000001
10007760,Birkbeck College,England,London,2015/16,Unrestricted reserves as a % of total income,0.742
10007760,Birkbeck College,England,London,2015/16,External borrowing as a % of total income,0.0
10007760,Birkbeck College,England,London,2015/16,Days ratio of total net assets to total expenditure,322.0
10007760,Birkbeck College,England,London,2015/16,Ratio of current assets to current liabilities,2.7
10007760,Birkbeck College,England,London,2015/16,Net cash inflow from operating activities as a % of total income,0.1
10007760,Birkbeck College,England,London,2015/16,Net liquidity days,219.0
10007760,Birkbeck College,England,London,2015/16,General funds as a % of total income,0.0
10007140,Birmingham City University,England,West Midlands,2015/16,Surplus/(deficit) as a % of total income,0.08800000000000001
10007140,Birmingham City University,England,West Midlands,2015/16,Staff costs as a % of total income,0.556
10007140,Birmingham City University,England,West Midlands,2015/16,Premises costs as a % of total costs,0.067
10007140,Birmingham City University,England,West Midlands,2015/16,Unrestricted reserves as a % of total income,0.986
10007140,Birmingham City University,England,West Midlands,2015/16,External borrowing as a % of total income,0.22
10007140,Birmingham City University,England,West Midlands,2015/16,Days ratio of total net assets to total expenditure,406.0
10007140,Birmingham City University,England,West Midlands,2015/16,Ratio of current assets to current liabilities,2.8
10007140,Birmingham City University,England,West Midlands,2015/16,Net cash inflow from operating activities as a % of total income,0.161
10007140,Birmingham City University,England,West Midlands,2015/16,Net liquidity days,155.0
10007140,Birmingham City University,England,West Midlands,2015/16,General funds as a % of total income,0.0
10006840,The University of Birmingham,England,West Midlands,2015/16,Surplus/(deficit) as a % of total income,0.13
10006840,The University of Birmingham,England,West Midlands,2015/16,Staff costs as a % of total income,0.47700000000000004
10006840,The University of Birmingham,England,West Midlands,2015/16,Premises costs as a % of total costs,0.033
10006840,The University of Birmingham,England,West Midlands,2015/16,Unrestricted reserves as a % of total income,1.619
10006840,The University of Birmingham,England,West Midlands,2015/16,External borrowing as a % of total income,0.10800000000000001
10006840,The University of Birmingham,England,West Midlands,2015/16,Days ratio of total net assets to total expenditure,756.0
10006840,The University of Birmingham,England,West Midlands,2015/16,Ratio of current assets to current liabilities,1.6
10006840,The University of Birmingham,England,West Midlands,2015/16,Net cash inflow from operating activities as a % of total income,0.134
10006840,The University of Birmingham,England,West Midlands,2015/16,Net liquidity days,130.0
10006840,The University of Birmingham,England,West Midlands,2015/16,General funds as a % of total income,0.0
10000712,University College Birmingham,England,West Midlands,2015/16,Surplus/(deficit) as a % of total income,0.146
10000712,University College Birmingham,England,West Midlands,2015/16,Staff costs as a % of total income,0.48200000000000004
10000712,University College Birmingham,England,West Midlands,2015/16,Premises costs as a % of total costs,0.071
10000712,University College Birmingham,England,West Midlands,2015/16,Unrestricted reserves as a % of total income,2.215
10000712,University College Birmingham,England,West Midlands,2015/16,External borrowing as a % of total income,0.0
10000712,University College Birmingham,England,West Midlands,2015/16,Days ratio of total net assets to total expenditure,947.0
10000712,University College Birmingham,England,West Midlands,2015/16,Ratio of current assets to current liabilities,6.5
10000712,University College Birmingham,England,West Midlands,2015/16,Net cash inflow from operating activities as a % of total income,0.19899999999999998
10000712,University College Birmingham,England,West Midlands,2015/16,Net liquidity days,244.0
10000712,University College Birmingham,England,West Midlands,2015/16,General funds as a % of total income,0.0
10007832,Birmingham Newman University,England,West Midlands,2015/16,Surplus/(deficit) as a % of total income,0.078
10007832,Birmingham Newman University,England,West Midlands,2015/16,Staff costs as a % of total income,0.579
10007832,Birmingham Newman University,England,West Midlands,2015/16,Premises costs as a % of total costs,0.07400000000000001
10007832,Birmingham Newman University,England,West Midlands,2015/16,Unrestricted reserves as a % of total income,1.357
10007832,Birmingham Newman University,England,West Midlands,2015/16,External borrowing as a % of total income,0.036000000000000004
10007832,Birmingham Newman University,England,West Midlands,2015/16,Days ratio of total net assets to total expenditure,537.0
10007832,Birmingham Newman University,England,West Midlands,2015/16,Ratio of current assets to current liabilities,3.1
10007832,Birmingham Newman University,England,West Midlands,2015/16,Net cash inflow from operating activities as a % of total income,0.126
10007832,Birmingham Newman University,England,West Midlands,2015/16,Net liquidity days,220.0
10007832,Birmingham Newman University,England,West Midlands,2015/16,General funds as a % of total income,0.0
10000385,The Arts University Bournemouth,England,South West,2015/16,Surplus/(deficit) as a % of total income,0.062
10000385,The Arts University Bournemouth,England,South West,2015/16,Staff costs as a % of total income,0.409
10000385,The Arts University Bournemouth,England,South West,2015/16,Premises costs as a % of total costs,0.10800000000000001
10000385,The Arts University Bournemouth,England,South West,2015/16,Unrestricted reserves as a % of total income,1.13
10000385,The Arts University Bournemouth,England,South West,2015/16,External borrowing as a % of total income,0.7340000000000001
10000385,The Arts University Bournemouth,England,South West,2015/16,Days ratio of total net assets to total expenditure,445.0
10000385,The Arts University Bournemouth,England,South West,2015/16,Ratio of current assets to current liabilities,0.7
10000385,The Arts University Bournemouth,England,South West,2015/16,Net cash inflow from operating activities as a % of total income,0.24
10000385,The Arts University Bournemouth,England,South West,2015/16,Net liquidity days,61.0
10000385,The Arts University Bournemouth,England,South West,2015/16,General funds as a % of total income,0.0
10000824,Bournemouth University,England,South West,2015/16,Surplus/(deficit) as a % of total income,0.01
10000824,Bournemouth University,England,South West,2015/16,Staff costs as a % of total income,0.506
10000824,Bournemouth University,England,South West,2015/16,Premises costs as a % of total costs,0.052000000000000005
10000824,Bournemouth University,England,South West,2015/16,Unrestricted reserves as a % of total income,0.018000000000000002
10000824,Bournemouth University,England,South West,2015/16,External borrowing as a % of total income,0.237
10000824,Bournemouth University,England,South West,2015/16,Days ratio of total net assets to total expenditure,10.0
10000824,Bournemouth University,England,South West,2015/16,Ratio of current assets to current liabilities,0.6
10000824,Bournemouth University,England,South West,2015/16,Net cash inflow from operating activities as a % of total income,0.085
10000824,Bournemouth University,England,South West,2015/16,Net liquidity days,22.0
10000824,Bournemouth University,England,South West,2015/16,General funds as a % of total income,0.0
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Surplus/(deficit) as a % of total income,-0.023
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Staff costs as a % of total income,0.605
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Premises costs as a % of total costs,0.049
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Unrestricted reserves as a % of total income,0.289
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,External borrowing as a % of total income,0.161
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Days ratio of total net assets to total expenditure,111.0
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Ratio of current assets to current liabilities,1.4
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Net cash inflow from operating activities as a % of total income,0.004
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,Net liquidity days,90.0
10007785,The University of Bradford,England,Yorkshire and The Humber,2015/16,General funds as a % of total income,0.0
10000886,The University of Brighton,England,South East,2015/16,Surplus/(deficit) as a % of total income,0.01
10000886,The University of Brighton,England,South East,2015/16,Staff costs as a % of total income,0.606
10000886,The University of Brighton,England,South East,2015/16,Premises costs as a % of total costs,0.085
10000886,The University of Brighton,England,South East,2015/16,Unrestricted reserves as a % of total income,0.9570000000000001
10000886,The University of Brighton,England,South East,2015/16,External borrowing as a % of total income,0.46299999999999997
10000886,The University of Brighton,England,South East,2015/16,Days ratio of total net assets to total expenditure,353.0
10000886,The University of Brighton,England,South East,2015/16,Ratio of current assets to current liabilities,2.8
10000886,The University of Brighton,England,South East,2015/16,Net cash inflow from operating activities as a % of total income,0.066
10000886,The University of Brighton,England,South East,2015/16,Net liquidity days,169.0
10000886,The University of Brighton,England,South East,2015/16,General funds as a % of total income,0.0
10007786,The University of Bristol,England,South West,2015/16,Surplus/(deficit) as a % of total income,0.068
10007786,The University of Bristol,England,South West,2015/16,Staff costs as a % of total income,0.494
10007786,The University of Bristol,England,South West,2015/16,Premises costs as a % of total costs,0.063
10007786,The University of Bristol,England,South West,2015/16,Unrestricted reserves as a % of total income,1.2819999999999998
10007786,The University of Bristol,England,South West,2015/16,External borrowing as a % of total income,0.434
10007786,The University of Bristol,England,South West,2015/16,Days ratio of total net assets to total expenditure,545.0
10007786,The University of Bristol,England,South West,2015/16,Ratio of current assets to current liabilities,2.4
10007786,The University of Bristol,England,South West,2015/16,Net cash inflow from operating activities as a % of total income,0.13
10007786,The University of Bristol,England,South West,2015/16,Net liquidity days,174.0
10007786,The University of Bristol,England,South West,2015/16,General funds as a % of total income,0.0
10000961,Brunel University London,England,London,2015/16,Surplus/(deficit) as a % of total income,0.011000000000000001
10000961,Brunel University London,England,London,2015/16,Staff costs as a % of total income,0.5429999999999999
10000961,Brunel University London,England,London,2015/16,Premises costs as a % of total costs,0.08800000000000001
10000961,Brunel University London,England,London,2015/16,Unrestricted reserves as a % of total income,0.7959999999999999
10000961,Brunel University London,England,London,2015/16,External borrowing as a % of total income,0.44299999999999995
10000961,Brunel University London,England,London,2015/16,Days ratio of total net assets to total expenditure,297.0
10000961,Brunel University London,England,London,2015/16,Ratio of current assets to current liabilities,1.8
10000961,Brunel University London,England,London,2015/16,Net cash inflow from operating activities as a % of total income,0.06
10000961,Brunel University London,England,London,2015/16,Net liquidity days,119.0
10000961,Brunel University London,England,London,2015/16,General funds as a % of total income,0.0
10000975,Buckinghamshire New University,England,South East,2015/16,Surplus/(deficit) as a % of total income,0.018000000000000002
10000975,Buckinghamshire New University,England,South East,2015/16,Staff costs as a % of total income,0.51
10000975,Buckinghamshire New University,England,South East,2015/16,Premises costs as a % of total costs,0.048
10000975,Buckinghamshire New University,England,South East,2015/16,Unrestricted reserves as a % of total income,0.27399999999999997
10000975,Buckinghamshire New University,England,South East,2015/16,External borrowing as a % of total income,0.447
10000975,Buckinghamshire New University,England,South East,2015/16,Days ratio of total net assets to total expenditure,103.0
10000975,Buckinghamshire New University,England,South East,2015/16,Ratio of current assets to current liabilities,1.8
10000975,Buckinghamshire New University,England,South East,2015/16,Net cash inflow from operating activities as a % of total income,0.125
10000975,Buckinghamshire New University,England,South East,2015/16,Net liquidity days,85.0
10000975,Buckinghamshire New University,England,South East,2015/16,General funds as a % of total income,0.0
10007787,The University of Buckingham,England,South East,2015/16,Surplus/(deficit) as a % of total income,0.201
10007787,The University of Buckingham,England,South East,2015/16,Staff costs as a % of total income,0.42100000000000004
10007787,The University of Buckingham,England,South East,2015/16,Premises costs as a % of total costs,0.038
10007787,The University of Buckingham,England,South East,2015/16,Unrestricted reserves as a % of total income,0.376
10007787,The University of Buckingham,England,South East,2015/16,External borrowing as a % of total income,0.141
10007787,The University of Buckingham,England,South East,2015/16,Days ratio of total net assets to total expenditure,306.0
10007787,The University of Buckingham,England,South East,2015/16,Ratio of current assets to current liabilities,0.9
10007787,The University of Buckingham,England,South East,2015/16,Net cash inflow from operating activities as a % of total income,0.322
10007787,The University of Buckingham,England,South East,2015/16,Net liquidity days,148.0
10007787,The University of Buckingham,England,South East,2015/16,General funds as a % of total income,0.0
10007788,The University of Cambridge,England,East of England,2015/16,Surplus/(deficit) as a % of total income,0.037000000000000005
10007788,The University of Cambridge,England,East of England,2015/16,Staff costs as a % of total income,0.423
10007788,The University of Cambridge,England,East of England,2015/16,Premises costs as a % of total costs,0.026000000000000002
10007788,The University of Cambridge,England,East of England,2015/16,Unrestricted reserves as a % of total income,1.5319999999999998
10007788,The University of Cambridge,England,East of England,2015/16,External borrowing as a % of total income,0.213
10007788,The University of Cambridge,England,East of England,2015/16,Days ratio of total net assets to total expenditure,917.0
10007788,The University of Cambridge,England,East of England,2015/16,Ratio of current assets to current liabilities,1.3
10007788,The University of Cambridge,England,East of England,2015/16,Net cash inflow from operating activities as a % of total income,0.028999999999999998
10007788,The University of Cambridge,England,East of England,2015/16,Net liquidity days,118.0
10007788,The University of Cambridge,England,East of England,2015/16,General funds as a % of total income,0.0
10003324,The Institute of Cancer Research,England,London,2015/16,Surplus/(deficit) as a % of total income,0.321
10003324,The Institute of Cancer Research,England,London,2015/16,Staff costs as a % of total income,0.376
10003324,The Institute of Cancer Research,England,London,2015/16,Premises costs as a % of total costs,0.08900000000000001
10003324,The Institute of Cancer Research,England,London,2015/16,Unrestricted reserves as a % of total income,0.9890000000000001
10003324,The Institute of Cancer Research,England,London,2015/16,External borrowing as a % of total income,0.0
10003324,The Institute of Cancer Research,England,London,2015/16,Days ratio of total net assets to total expenditure,788.0
10003324,The Institute of Cancer Research,England,London,2015/16,Ratio of current assets to current liabilities,5.8
10003324,The Institute of Cancer Research,England,London,2015/16,Net cash inflow from operating activities as a % of total income,0.371
10003324,The Institute of Cancer Research,England,London,2015/16,Net liquidity days,279.0
10003324,The Institute of Cancer Research,England,London,2015/16,General funds as a % of total income,0.0
10001143,Canterbury Christ Church University,England,South East,2015/16,Surplus/(deficit) as a % of total income,0.054000000000000006
10001143,Canterbury Christ Church University,England,South East,2015/16,Staff costs as a % of total income,0.528
10001143,Canterbury Christ Church University,England,South East,2015/16,Premises costs as a % of total costs,0.065
10001143,Canterbury Christ Church University,England,South East,2015/16,Unrestricted reserves as a % of total income,0.57
10001143,Canterbury Christ Church University,England,South East,2015/16,External borrowing as a % of total income,0.35200000000000004
10001143,Canterbury Christ Church University,England,South East,2015/16,Days ratio of total net assets to total expenditure,221.0
10001143,Canterbury Christ Church University,England,South East,2015/16,Ratio of current assets to current liabilities,2.0
10001143,Canterbury Christ Church University,England,South East,2015/16,Net cash inflow from operating activities as a % of total income,0.157
10001143,Canterbury Christ Church University,England,South East,2015/16,Net liquidity days,131.0
10001143,Canterbury Christ Church University,England,South East,2015/16,General funds as a % of total income,0.0
10007814,Cardiff University,Wales,Wales,2015/16,Surplus/(deficit) as a % of total income,0.053
10007814,Cardiff University,Wales,Wales,2015/16,Staff costs as a % of total income,0.5539999999999999
10007814,Cardiff University,Wales,Wales,2015/16,Premises costs as a % of total costs,0.048
10007814,Cardiff University,Wales,Wales,2015/16,Unrestricted reserves as a % of total income,1.3219999999999998
10007814,Cardiff University,Wales,Wales,2015/16,External borrowing as a % of total income,0.61
10007814,Cardiff University,Wales,Wales,2015/16,Days ratio of total net assets to total expenditure,533.0
10007814,Cardiff University,Wales,Wales,2015/16,Ratio of current assets to current liabilities,4.4
10007814,Cardiff University,Wales,Wales,2015/16,Net cash inflow from operating activities as a % of total income,0.09300000000000001
10007814,Cardiff University,Wales,Wales,2015/16,Net liquidity days,328.0
10007814,Cardiff University,Wales,Wales,2015/16,General funds as a % of total income,0.0
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Surplus/(deficit) as a % of total income,0.006
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Staff costs as a % of total income,0.62
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Premises costs as a % of total costs,0.039
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Unrestricted reserves as a % of total income,0.745
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,External borrowing as a % of total income,0.293
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Days ratio of total net assets to total expenditure,273.0
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Ratio of current assets to current liabilities,1.7
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Net cash inflow from operating activities as a % of total income,0.092
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,Net liquidity days,100.0
10007854,Cardiff Metropolitan University,Wales,Wales,2015/16,General funds as a % of total income,0.0
10007848,University of Chester,England,North West,2015/16,Surplus/(deficit) as a % of total income,0.002
10007848,University of Chester,England,North West,2015/16,Staff costs as a % of total income,0.5670000000000001
10007848,University of Chester,England,North West,2015/16,Premises costs as a % of total costs,0.07400000000000001
10007848,University of Chester,England,North West,2015/16,Unrestricted reserves as a % of total income,0.429
10007848,University of Chester,England,North West,2015/16,External borrowing as a % of total income,0.373
10007848,University of Chester,England,North West,2015/16,Days ratio of total net assets to total expenditure,158.0
10007848,University of Chester,England,North West,2015/16,Ratio of current assets to current liabilities,0.7
10007848,University of Chester,England,North West,2015/16,Net cash inflow from operating activities as a % of total income,0.077
10007848,University of Chester,England,North West,2015/16,Net liquidity days,29.0
10007848,University of Chester,England,North West,2015/16,General funds as a % of total income,0.0
10007137,The University of Chichester,England,South East,2015/16,Surplus/(deficit) as a % of total income,0.023
10007137,The University of Chichester,England,South East,2015/16,Staff costs as a % of total income,0.557
10007137,The University of Chichester,England,South East,2015/16,Premises costs as a % of total costs,0.04
10007137,The University of Chichester,England,South East,2015/16,Unrestricted reserves as a % of total income,0.84
10007137,The University of Chichester,England,South East,2015/16,External borrowing as a % of total income,0.251
10007137,The University of Chichester,England,South East,2015/16,Days ratio of total net assets to total expenditure,314.0
10007137,The University of Chichester,England,South East,2015/16,Ratio of current assets to current liabilities,1.0
10007137,The University of Chichester,England,South East,2015/16,Net cash inflow from operating activities as a % of total income,0.1
10007137,The University of Chichester,England,South East,2015/16,Net liquidity days,33.0
10007137,The University of Chichester,England,South East,2015/16,General funds as a % of total income,0.0
10001478,"City St George's, University of London",England,London,2015/16,Surplus/(deficit) as a % of total income,0.055
10001478,"City St George's, University of London",England,London,2015/16,Staff costs as a % of total income,0.546
10001478,"City St George's, University of London",England,London,2015/16,Premises costs as a % of total costs,0.078
10001478,"City St George's, University of London",England,London,2015/16,Unrestricted reserves as a % of total income,1.12
10001478,"City St George's, University of London",England,London,2015/16,External borrowing as a % of total income,0.0
10001478,"City St George's, University of London",England,London,2015/16,Days ratio of total net assets to total expenditure,456.0
10001478,"City St George's, University of London",England,London,2015/16,Ratio of current assets to current liabilities,1.0
10001478,"City St George's, University of London",England,London,2015/16,Net cash inflow from operating activities as a % of total income,0.11900000000000001
10001478,"City St George's, University of London",England,London,2015/16,Net liquidity days,70.0
10001478,"City St George's, University of London",England,London,2015/16,General funds as a % of total income,0.0
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Surplus/(deficit) as a % of total income,0.003
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Staff costs as a % of total income,0.023
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Premises costs as a % of total costs,0.017
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Unrestricted reserves as a % of total income,0.036000000000000004
10001653,Conservatoire for Dance and Drama,England,London,2015/16,External borrowing as a % of total income,0.005
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Days ratio of total net assets to total expenditure,13.0
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Ratio of current assets to current liabilities,7.8
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Net cash inflow from operating activities as a % of total income,-0.039
10001653,Conservatoire for Dance and Drama,England,London,2015/16,Net liquidity days,14.0
